,pid,Player,Position,dob,Shoots,height,height_cm,weight,city,state,country
4569,ignatvi01,Victor Ignatjev,D,1970-04-26,Left,6-4,193,215,Riga,USSR,su
4570,ignatig01,Igor Ignatushkin,C,1984-04-07,,,,,,,
4571,ihnacbr01,Brian Ihnacak,C,1985-04-10,,,,,,,
4572,ihnacmi01,Miroslav Ihnacak,LW,1962-11-19,Left,5-11,180,175,Poprad,Czechoslovakia,cs
4573,ihnacpe01,Peter Ihnacak,C,1957-05-03,Right,5-11,180,180,Poprad,Czechoslovakia,cs
4574,iilahjo01,Jonathan Iilahti,G,1992-04-27,,,,,,,
4575,ikonehe01,Henri Ikonen,LW,1994-04-17,Left,5-11,180,184,Savonlinna,Finland,fi
4576,ikonejo01,Joni Ikonen,C,1999-04-14,Right,5-11,180,177,Espoo,Finland,fi
4577,illora01,Radoslav Illo,C,1990-01-21,,,,,,,
4578,ilvonha01,Harri Ilvonen,D,1988-11-03,,,,,,,
4579,imamabo01,Bokondji Imama,LW,1996-08-03,Left,6-1,185,220,Montreal,Quebec,ca
4580,imlacbr01,Brent Imlach,F,1946-11-16,Left,5-8,173,160,,,
4581,imlacpu01,Punch Imlach,C,1918-03-15,Right,5-8,173,160,Toronto,Ontario,ca
4582,immonja01,Jarkko Immonen,C,1982-04-19,Right,6-0,183,210,Rantasalmi,Finland,fi
4583,immonja02,Jarkko A. Immonen,C,1984-01-18,,,,,,,
4584,inamoty01,Tyler Inamoto,D,1999-05-06,Left,6-1,185,192,,,
4585,ingpe01,Peter Ing,G,1969-04-28,,6-2,188,170,Toronto,Ontario,ca
4586,ingarea01,Earl Ingarfield,C,1934-10-25,Left,5-11,180,185,Lethbridge,Alberta,ca
4587,ingarea02,Earl Ingarfield,C,1959-01-30,Left,5-11,180,180,,,
4588,inghaja01,Jacob Ingham,G,2000-06-10,Left,6-4,193,200,Barrie,Ontario,ca
4589,inglibi01,Billy Inglis,C,1943-05-11,Left,5-9,175,160,Ottawa,Ontario,ca
4590,inglile01,Lee Inglis,LW,1947-08-31,Left,5-10,178,190,Latchford,Ontario,ca
4591,ingoljo01,Jack Ingoldsby,RW/D,1924-06-21,Right,6-2,188,210,Toronto,Ontario,ca
4592,ingraco01,Connor Ingram,G,1997-03-31,,6-2,188,196,Saskatoon,Saskatchewan,ca
4593,ingrafr01,Frank Ingram,RW,1907-09-17,Right,5-8,173,185,Craven,Saskatchewan,ca
4594,ingrajo01,John Ingram,C,1893-12-19,Left,5-11,180,170,,,
4595,ingraro01,Ron Ingram,D,1933-07-05,Right,5-11,180,185,Toronto,Ontario,ca
4596,inkpeda01,Dave Inkpen,D,1954-09-04,Right,6-0,183,195,Edmonton,Alberta,ca
4597,innesga01,Gary Inness,G,1949-05-28,,6-0,183,195,Toronto,Ontario,ca
4598,intrara01,Ralph Intranuovo,C,1973-12-11,Left,5-8,173,185,,,
4599,irbear01,Arturs Irbe,G,1967-02-02,,5-8,173,190,Riga,USSR,su
4600,irelara01,Randy Ireland,G,1957-04-05,,6-0,183,165,Rosetown,Saskatchewan,ca
4601,irmenda01,Danny Irmen,C,1984-09-06,Right,6-0,183,190,,,
4602,ironsro01,Robbie Irons,G,1946-11-19,,5-8,173,150,Toronto,Ontario,ca
4603,ironsjo01,Joe Ironstone,G,1898-06-28,,5-6,168,180,Sudbury,Ontario,ca
4604,irvindi01,Dick Irvin,C,1892-07-19,Left,5-9,175,162,Hamilton,Ontario,ca
4605,irvinte01,Ted Irvine,LW,1944-12-08,Left,6-2,188,195,Winnipeg,Manitoba,ca
4606,irvinaa01,Aaron Irving,D,1996-03-03,Right,6-1,185,185,Edmonton,Alberta,ca
4607,irvinle01,Leland Irving,G,1988-04-11,,6-0,183,177,Barrhead,Alberta,ca
4608,irwinbr01,Brayden Irwin,RW,1987-03-24,Right,6-5,196,211,Toronto,Ontario,ca
4609,irwingl01,Glen Irwin,D,1951-03-01,Right,5-11,180,195,Edmonton,Alberta,ca
4610,irwiniv01,Ivan Irwin,D,1927-03-13,Left,6-2,188,185,Chicago,Illinois,us
4611,irwinma01,Matt Irwin,D,1987-11-29,Left,6-1,185,207,,,
4612,isackch01,Christian Isackson,RW,1992-01-20,,,,,,,
4613,isakoev01,Evgeni Isakov,RW,1984-10-13,,,,,,,
4614,isaksul01,Ulf Isaksson,LW,1954-03-19,Left,6-1,185,185,Norrsunda,Sweden,se
4615,isbisbr01,Brad Isbister,LW,1977-05-07,Right,6-4,193,225,Edmonton,Alberta,ca
4616,iskharu01,Ruslan Iskhakov,C,2000-07-22,Left,5-7,170,152,,,
4617,israela01,Larry Israelson,LW,1952-08-02,Left,6-1,185,175,Wetaskiwin,Alberta,ca
4618,isselki01,Kim Issel,RW,1967-09-25,Right,6-4,193,196,Calgary,Alberta,ca
4619,istomde01,Denis Istomin,RW,1987-01-12,,,,,,,
4620,ivanara01,Raitis Ivanans,LW,1979-01-03,Left,6-4,193,240,Riga,USSR,su
4621,ivanoal01,Alexei Ivanov,C,1985-01-05,,,,,,,
4622,iverske01,Keegan Iverson,C/RW,1996-04-05,Right,6-0,183,215,,,
4623,jaakoto01,Topi Jaakola,D,1983-11-15,,,,,,,
4624,jaaskte01,Teemu Jaaskelainen,D,1983-06-07,,,,,,,
4625,jablopa01,Pat Jablonski,G,1967-06-20,,6-0,183,180,Toledo,Ohio,us
4626,jacingr01,Greg Jacina,LW,1982-05-22,Right,6-0,183,203,Guelph,Ontario,ca
4627,jackmba01,Barret Jackman,D,1981-03-05,Left,6-0,183,203,,,
4628,jackmri01,Ric Jackman,D,1978-06-28,Right,6-2,188,214,Toronto,Ontario,ca
4629,jackmti01,Tim Jackman,RW,1981-11-14,Right,6-2,188,224,,,
4630,jacksar01,Art Jackson,C,1915-12-15,Left,5-8,173,165,Toronto,Ontario,ca
4631,jacksbu01,Busher Jackson,LW,1911-01-19,Left,5-11,180,195,Toronto,Ontario,ca
4632,jacksda01,Dane Jackson,RW,1970-05-17,Right,6-1,185,200,,,
4633,jacksdo02,Don Jackson,D,1956-09-02,Left,6-3,190,210,Minneapolis,Minnesota,us
4634,jacksdo01,Doug Jackson,G,1924-12-12,,5-10,178,150,Winnipeg,Manitoba,ca
4635,jacksha01,Harold Jackson,D,1918-08-01,Right,6-0,183,195,,,
4636,jacksja01,Jack Jackson,D,1925-05-03,Right,5-10,178,185,Windsor,Ontario,ca
4637,jacksja02,Jacob Jackson,C,1994-12-05,,,,,,,
4638,jacksje01,Jeff Jackson,LW,1965-04-24,Left,6-1,185,195,Dresden,Ontario,ca
4639,jacksji01,Jim Jackson,LW,1960-02-01,Right,5-9,175,190,Oshawa,Ontario,ca
4640,jacksll01,Lloyd Jackson,C,1912-01-07,Left,5-9,175,150,Ottawa,Ontario,ca
4641,jackspe01,Percy Jackson,G,1907-09-21,,5-9,175,165,Canmore,Alberta,ca
4642,jackssc01,Scott Jackson,D,1987-02-05,Left,6-3,190,219,,,
4643,jacksst01,Stan Jackson,LW,1898-08-27,Left,6-0,183,180,,,
4644,jackswa01,Walter Jackson,LW,1908-06-03,Left,5-8,173,164,,,
4645,jacobco01,Colin Jacobs,C,1993-01-20,,,,,,,
4646,jacobjo01,Joshua Jacobs,D,1996-02-15,Right,6-2,188,200,,,
4647,jacobpa01,Paul Jacobs,D,1894-03-09,Left,5-8,173,160,Montreal,Quebec,ca
4648,jacobti01,Tim Jacobs,D,1952-03-28,Left,5-10,178,180,Espanola,Ontario,ca
4649,jacobgr01,Grant Jacobsen,C,1983-03-04,,,,,,,
4650,jacquje01,Jean-Francois Jacques,LW,1985-04-29,Left,6-3,190,231,Montreal,Quebec,ca
4651,jacquje02,Jeff Jacques,RW,1953-04-04,Right,5-11,180,180,Preston,Ontario,ca
4652,jaffrja01,Jason Jaffray,LW,1981-06-30,Left,6-1,185,195,Olds,Alberta,ca
4653,jagrja01,Jaromir Jagr,RW,1972-02-15,Left,6-3,190,230,Kladno,Czechoslovakia,cs
4654,jakesji01,Jiri Jakes,RW,1982-10-04,,,,,,,
4655,jakopjo01,John Jakopin,D,1975-05-16,Right,6-5,196,239,Toronto,Ontario,ca
4656,jakspa01,Pauli Jaks,G,1972-01-25,,6-0,183,194,Schaffhausen,Switzerland,ch
4657,jakubmi01,Mike Jakubo,C,1947-07-07,Left,6-0,183,190,Sudbury,Ontario,ca
4658,jalori01,Risto Jalo,C,1962-07-18,Left,5-11,180,185,Humppila,Finland,fi
4659,jalonka01,Kari Jalonen,C,1960-01-06,Right,6-2,188,190,Oulu,Finland,fi
4660,jamesco01,Connor James,RW,1982-08-25,Right,5-10,178,180,Calgary,Alberta,ca
4661,jamesge01,Gerry James,RW,1934-10-22,Right,5-11,180,185,Regina,Saskatchewan,ca
4662,jamesva01,Val James,LW,1957-02-14,Left,6-2,188,205,Ocala,Florida,us
4663,jamieji01,Jim Jamieson,D,1922-03-21,Left,5-9,175,170,Brantford,Ontario,ca
4664,jaminto01,Tommi Jaminki,LW,1983-02-11,,,,,,,
4665,jamseaa01,Aatu Jamsen,RW,2002-07-22,Left,6-1,185,154,,,
4666,jamtian01,Andreas Jamtin,RW,1983-05-04,,,,,,,
4667,janasst01,Steve Janaszak,G,1957-01-07,,6-1,185,210,,,
4668,janceda01,Dan Jancevski,D,1981-06-15,Left,6-3,190,222,Windsor,Ontario,ca
4669,janecbo01,Bob Janecyk,G,1957-05-18,,6-1,185,180,Chicago,Illinois,us
4670,janictr01,Trevor Janicke,C,2000-12-25,Right,5-10,178,190,,,
4671,janikdo01,Doug Janik,D,1980-03-26,Left,6-2,188,211,Agawam,Massachusetts,us
4672,jankolo01,Lou Jankowski,C/RW,1931-06-27,Right,6-0,183,180,Regina,Saskatchewan,ca
4673,jankoma01,Mark Jankowski,C,1994-09-13,Left,6-4,193,212,Hamilton,Ontario,ca
4674,janmama02,Mattias Janmark,C,1992-12-08,Left,6-1,185,196,Stockholm,Sweden,se
4675,jannecr01,Craig Janney,C,1967-09-26,Left,6-1,185,190,Hartford,Connecticut,us
4676,janosad01,Adam Janosik,D,1992-09-07,,,,,,,
4677,janssca01,Cam Janssen,RW,1984-04-15,Right,6-0,183,215,,,
4678,janssma01,Mark Janssens,C,1968-05-19,Left,6-3,190,212,,,
4679,jantuma01,Marko Jantunen,C,1971-02-14,Left,5-10,178,185,Lahti,Finland,fi
4680,janusja01,Jaroslav Janus,G,1989-09-21,,,,,,,
4681,jacquga01,Gary Jaquith,D,1948-05-30,Right,6-0,183,200,Lynn,Massachusetts,us
4682,jardiry01,Ryan Jardine,LW,1980-03-15,Left,6-0,183,210,Ottawa,Ontario,ca
4683,jardisa01,Sam Jardine,D,1993-08-12,,,,,,,
4684,jarmake01,Kevin Jarman,LW,1985-03-12,,,,,,,
4685,jarnkca01,Calle Jarnkrok,C,1991-09-25,Right,5-11,180,185,Gavle,Sweden,se
4686,jarosch01,Christian Jaros,D,1996-04-02,Right,6-4,193,220,Kosice,Slovakia,sk
4687,jarreco01,Cole Jarrett,W,1983-01-04,Left,6-0,183,195,,,
4688,jarredo01,Doug Jarrett,D,1944-04-22,Left,6-3,190,205,London,Ontario,ca
4689,jarrega01,Gary Jarrett,LW,1942-09-03,Left,5-8,173,170,Toronto,Ontario,ca
4690,jarrepa01,Patrick Jarrett,C,1984-02-06,,,,,,,
4691,jarrypi01,Pierre Jarry,LW,1949-03-30,Left,5-11,180,190,Montreal,Quebec,ca
4692,jarrytr01,Tristan Jarry,G,1995-04-29,,6-2,188,194,,,
4693,jarveha01,Hannu Jarvenpaa,RW,1963-05-19,Left,6-0,183,194,Ii,Finland,fi
4694,jarvema01,Martti Jarventie,D,1976-04-04,Left,5-11,180,196,Tampere,Finland,fi
4695,jarvero01,Roby Jarventie,LW,2002-08-08,Left,6-2,188,191,Tampere,Finland,fi
4696,jarviii01,Iiro Jarvi,RW,1965-03-23,Left,6-1,185,198,Helsinki,Finland,fi
4697,jarvido01,Doug Jarvis,C,1955-03-24,Left,5-9,175,170,Brantford,Ontario,ca
4698,jarvija01,James Jarvis,LW,1907-12-07,Left,5-6,168,165,,,
4699,jarvise01,Seth Jarvis,C,2002-02-01,Right,5-10,178,175,Winnipeg,Manitoba,ca
4700,jarviwe01,Wes Jarvis,C,1958-05-30,Left,5-11,180,185,Toronto,Ontario,ca
4701,jaseklu01,Lukas Jasek,RW,1997-08-28,Right,5-11,180,165,,,
4702,jaskidm01,Dmitrij Jaskin,RW,1993-03-23,Left,6-2,188,216,,,
4703,jaspeja01,Jason Jaspers,C,1981-04-08,Left,5-11,180,207,,,
4704,javanar01,Arto Javanainen,RW,1959-04-08,Right,6-0,183,185,Pori,Finland,fi
4705,jaybo01,Bob Jay,D,1965-11-18,Right,5-11,180,190,Burlington,Massachusetts,us
4706,jeannta01,Tanner Jeannot,F,1997-05-29,Left,6-2,188,207,,,
4707,jeffeal01,Alex Jefferies,LW,2001-11-08,Right,5-11,180,195,Farmingham,Massachusetts,us
4708,jeffrdu01,Dustin Jeffrey,C,1988-02-27,Left,6-1,185,205,Sarnia,Ontario,ca
4709,jeffrla01,Larry Jeffrey,LW,1940-10-12,Left,5-11,180,189,Goderich,Ontario,ca
4710,jelinto01,Tomas Jelinek,RW,1962-04-29,Left,5-9,175,189,Prague,Czechoslovakia,cs
4711,jenikja01,Jan Jenik,RW,2000-09-15,Left,6-1,185,165,,,
4712,jenkibl01,Blade Jenkins,LW,2000-08-11,Left,6-1,185,195,Jackson,Michigan,us
4713,jenkide01,Dean Jenkins,RW,1959-11-21,Right,6-0,183,190,Billerica,Massachusetts,us
4714,jenkiky01,Kyle Jenkins,D,1996-04-22,Left,6-1,185,175,Brampton,Ontario,ca
4715,jenkiro01,Roger Jenkins,RW/D,1911-11-18,Right,5-11,180,173,Appleton,Wisconsin,us
4716,jenksa,A.J. Jenks,LW,1990-06-27,,,,,,,
4717,jennebo01,Boone Jenner,C,1993-06-15,Left,6-2,188,208,Dorchester,Ontario,ca
4718,jennibi01,Bill Jennings,RW,1916-06-28,Right,5-10,178,165,Toronto,Ontario,ca
4719,jennigr01,Grant Jennings,D,1965-05-05,Left,6-3,190,210,,,
4720,jenseal01,Al Jensen,G,1958-11-27,,5-10,178,180,Hamilton,Ontario,ca
4721,jensech01,Chris Jensen,RW,1963-10-28,Right,5-11,180,180,,,
4722,jensech02,Christian Jensen,D,1986-01-06,,,,,,,
4723,jenseda01,Darren Jensen,G,1960-05-27,,5-9,175,165,,,
4724,jenseda02,David Jensen,D,1961-05-03,Left,6-1,185,185,Minneapolis,Minnesota,us
4725,jenseda03,David Jensen,C,1965-08-19,Left,6-1,185,195,Newton,Massachusetts,us
4726,jensejo01,Joe Jensen,C,1983-02-06,Left,5-11,180,180,,,
4727,jenseni02,Nick Jensen,D,1990-09-21,Right,6-1,185,196,Rogers,Minnesota,us
4728,jenseni01,Nicklas Jensen,LW,1993-03-06,Left,6-3,190,216,Herning,Denmark,dk
4729,jensest01,Steve Jensen,LW,1955-04-14,Left,6-2,188,190,Minneapolis,Minnesota,us
4730,jenyspa01,Pavel Jenys,C,1996-04-02,Left,6-3,190,213,,,
4731,jerabja01,Jakub Jerabek,D,1991-05-12,Left,5-11,180,199,Pilsen,Czechoslovakia,cs
4732,jeremed01,Ed Jeremiah,RW/D,1905-11-04,Right,5-9,175,160,Worcester,Massachusetts,us
4733,jerrapa01,Paul Jerrard,D,1965-04-20,Right,5-10,178,185,Winnipeg,Manitoba,ca
4734,jerwafr01,Frank Jerwa,LW/D,1909-03-15,Left,6-1,185,179,Bankhead,Alberta,ca
4735,jerwajo01,Joe Jerwa,D,1907-01-20,Left,6-2,188,185,Krakow,Poland,pl
4736,jessihu01,Hugh Jessiman,RW,1984-03-28,Right,6-6,198,221,,,
4737,jillsje01,Jeff Jillson,D,1980-07-24,Right,6-3,190,215,,,
4738,jirikja01,Jaroslav Jirik,LW,1939-12-10,Left,5-11,180,170,,,
4739,joanero01,Rosario Joanette,C,1919-07-27,Right,5-8,173,165,Valleyfield,Quebec,ca
4740,jodziri01,Rick Jodzio,LW,1954-06-03,Left,6-1,185,190,Edmonton,Alberta,ca
4741,joensje01,Jesse Joensuu,LW,1987-10-05,Left,6-4,193,210,Pori,Finland,fi
4742,johangl01,Glenn Johannesen,LW,1962-02-15,Right,6-2,188,220,,,
4743,johanan02,Anton Johannesson,D,2002-03-26,Left,5-9,175,144,Gnosjo,Sweden,se
4744,johansa01,Samuel Johannesson,D,2000-12-27,Right,5-11,180,176,,,
4745,johanjo01,John Johannson,C,1961-10-18,Left,6-1,185,175,Rochester,Minnesota,us
4746,johanbi01,Bill Johansen,C/RW,1928-07-27,Right,6-0,183,163,,,
4747,johanlu01,Lucas Johansen,D,1997-11-16,Left,6-2,188,190,,,
4748,johanry01,Ryan Johansen,C,1992-07-31,Right,6-3,190,218,,,
4749,johantr01,Trevor Johansen,D,1957-03-30,Right,5-9,175,200,,,
4750,johanal01,Albert Johansson,D,2001-01-04,Left,5-11,180,165,Karlstad,Sweden,se
4751,johanan01,Andreas Johansson,C,1973-05-19,Left,6-0,183,202,Hofors,Sweden,se
4752,johanbj01,Bjorn Johansson,D,1956-01-15,Left,6-0,183,195,Orebro,Sweden,se
4753,johanca01,Calle Johansson,D,1967-02-14,Left,5-11,180,203,Gothenburg,Sweden,se
4754,johanem01,Emil Johansson,D,1996-05-06,Left,5-11,180,189,Vaxjo,Sweden,se
4755,johaner01,Eric Johansson,C,1982-01-07,,,,,,,
4756,johanfi01,Filip Johansson,D,2000-03-23,Right,6-0,183,176,Vasteras,Sweden,se
4757,johanfr01,Fredrik Johansson,C,1984-02-27,,,,,,,
4758,johanjo02,Jonas Johansson,RW,1984-03-18,Right,6-3,190,215,Jonkoping,Sweden,se
4759,johanjo03,Jonas Johansson,G,1995-09-19,Left,6-5,196,214,Gavle,Sweden,se
4760,johanki01,Kim Johansson,W,1988-01-21,,,,,,,
4761,johanma01,Magnus Johansson,D,1973-09-04,Left,5-11,180,180,Linkoping,Sweden,se
4762,johanma03,Marcus Johansson,C/W,1990-10-06,Left,6-1,185,205,Landskrona,Sweden,se
4763,johanma02,Mathias Johansson,C,1974-02-22,Left,6-2,188,185,Oskarshamn,Sweden,se
4764,johanmi01,Mikael Johansson,C,1985-06-27,,,,,,,
4765,johanro01,Roger Johansson,D,1967-04-17,Left,6-1,185,190,Ljungby,Sweden,se
4766,johansi01,Simon Johansson,D,1999-06-14,Right,6-2,188,170,Sweden,Sweden,se
4767,johnedu01,Dustin Johner,C,1983-03-06,,,,,,,
4768,johnsdo01,Don Johns,D,1937-12-13,Right,6-0,183,180,,,
4769,johnsst03,Stephen Johns,D,1992-04-18,Right,6-4,193,225,,,
4770,johnsaa01,Aaron Johnson,D,1983-04-30,Left,6-1,185,204,,,
4771,johnsad01,Adam Johnson,C,1994-06-22,Left,6-0,183,174,,,
4772,johnsal01,Allan Johnson,RW/C,1935-03-30,Right,5-11,180,180,Winnipeg,Manitoba,ca
4773,johnsbe02,Ben Johnson,C/LW,1994-06-07,Left,6-0,183,188,Hancock,Michigan,us
4774,johnsbo01,Bob Johnson,G,1948-11-12,,6-1,185,185,Farmington,Michigan,us
4775,johnsbr02,Brent Johnson,G,1977-03-12,,6-3,190,199,Farmington,Michigan,us
4776,johnsbr01,Brian Johnson,RW,1960-04-01,Right,6-1,185,198,Montreal,Quebec,ca
4777,johnsca01,Cam Johnson,G,1994-07-11,,6-1,185,205,Flint,Michigan,us
4778,johnsch02,Chad Johnson,G,1986-06-10,,6-3,190,197,Saskatoon,Saskatchewan,ca
4779,johnsch01,Ching Johnson,D,1898-12-07,Left,5-11,180,210,Winnipeg,Manitoba,ca
4780,johnscr01,Craig Johnson,LW,1972-03-18,Left,6-2,188,200,,,
4781,johnsda01,Danny Johnson,C,1944-10-01,Left,5-11,180,170,Winnipegosis,Manitoba,ca
4782,johnsea01,Earl Johnson,LW,1931-06-28,Left,6-0,183,185,,,
4783,johnser01,Erik Johnson,D,1988-03-21,Right,6-4,193,225,Bloomington,Minnesota,us
4784,johnsgr02,Greg Johnson,C,1971-03-16,Left,5-11,180,200,,,
4785,johnsgr03,Gregg Johnson,C,1982-06-18,,,,,,,
4786,johnsja02,Jack Johnson,D,1987-01-13,Left,6-1,185,227,Indianapolis,Indiana,us
4787,johnsji01,Jim Johnson,C,1942-11-07,Left,5-9,175,190,Winnipeg,Manitoba,ca
4788,johnsji02,Jim Johnson,D,1962-08-09,Left,6-1,185,190,,,
4789,johnsjo02,Jonas Johnson,C,1970-03-23,,,,,,,
4790,johnsju01,Justin Johnson,RW,1981-05-05,,6-1,185,220,,,
4791,johnslu01,Luke Johnson,C,1994-09-19,Right,5-11,180,177,,,
4792,johnsma02,Mark Johnson,C,1957-09-22,Left,5-9,175,170,Minneapolis,Minnesota,us
4793,johnsma03,Matt Johnson,LW,1975-11-23,Left,6-5,196,235,Welland,Ontario,ca
4794,johnsmi01,Mike Johnson,RW,1974-10-03,Right,6-2,188,202,Scarborough,Ontario,ca
4795,johnsmo01,Moose Johnson,D,1886-02-26,Left,5-11,180,185,Montreal,Quebec,ca
4796,johnsni01,Nick Johnson,RW,1985-12-24,Right,6-2,188,200,Calgary,Alberta,ca
4797,johnsno01,Norm Johnson,C,1932-11-27,Left,5-10,178,170,,,
4798,johnspa01,Patrick Johnson,LW,1989-04-21,,,,,,,
4799,johnsre01,Reese Johnson,F,1998-07-10,Right,6-1,185,193,Regina,Saskatchewan,ca
4800,johnsry03,Ryan Johnson,D,2001-07-24,Left,6-0,183,170,,,
4801,johnsry01,Ryan Johnson,C,1976-06-14,Left,6-1,185,199,,,
4802,johnsst01,Steven Johnson,D,1994-06-27,Left,6-0,183,185,Excelsior,Minnesota,us
4803,johnste01,Terry Johnson,D,1958-11-28,Left,6-3,190,210,Calgary,Alberta,ca
4804,johnsto01,Tom Johnson,D,1928-02-18,Left,6-0,183,180,Baldur,Manitoba,ca
4805,johnsty01,Tyler Johnson,C,1990-07-29,Right,5-8,173,183,Spokane,Washington,us
4806,johnsvi01,Virgil Johnson,D,1912-03-04,Left,5-9,175,165,Minneapolis,Minnesota,us
4807,johnsan01,Andreas Johnsson,LW,1994-11-21,Left,5-10,178,181,Gavle,Sweden,se
4808,johnski01,Kim Johnsson,D,1976-03-16,Left,6-1,185,193,Malmo,Sweden,se
4809,johnspi01,Pierre Johnsson,D,1984-02-07,,,,,,,
4810,johnsbe01,Bernie Johnston,C,1956-09-15,Left,5-11,180,185,Toronto,Ontario,ca
4811,johnsed01,Eddie Johnston,G,1935-11-24,,6-0,183,190,Montreal,Quebec,ca
4812,johnsge01,George Johnston,RW,1920-07-30,Right,5-8,173,160,,,
4813,johnsgr01,Greg Johnston,RW,1965-01-14,Right,6-1,185,205,Barrie,Ontario,ca
4814,johnsja01,Jay Johnston,D,1958-02-28,Left,5-11,180,195,Hamilton,Ontario,ca
4815,johnsjo01,Joey Johnston,LW,1949-03-03,Left,5-10,178,180,Peterborough,Ontario,ca
4816,johnsla01,Larry Johnston,D,1943-07-20,Right,5-11,180,195,Kitchener,Ontario,ca
4817,johnsma01,Marshall Johnston,D,1941-06-06,Right,5-11,180,175,,,
4818,johnsra01,Randy Johnston,D,1958-06-02,Left,6-0,183,190,Brampton,Ontario,ca
4819,johnsro02,Ross Johnston,LW,1994-02-18,Left,6-5,196,235,,,
4820,johnsry02,Ryan Johnston,D,1992-02-14,Right,5-10,178,180,Sudbury,Ontario,ca
4821,johnsst02,Stephen Johnston,LW,1990-02-24,,,,,,,
4822,johnsed02,Eddie Johnstone,RW,1954-03-02,Right,5-9,175,175,Brandon,Manitoba,ca
4823,johnsro01,Ross Johnstone,D,1926-04-07,Left,6-0,183,185,Montreal,Quebec,ca
4824,jokelmi01,Mikko Jokela,D,1980-03-04,Right,6-1,185,212,Lappeenranta,Finland,fi
4825,jokihhe01,Henri Jokiharju,D,1999-06-17,Right,6-0,183,193,Oulu,Finland,fi
4826,jokinju01,Jussi Jokinen,C,1983-04-01,Left,6-0,183,191,Kalajoki,Finland,fi
4827,jokinju02,Justin Jokinen,RW,1989-11-25,,,,,,,
4828,jokinol01,Olli Jokinen,C,1978-12-05,Left,6-2,188,210,Kuopio,Finland,fi
4829,jokipjy01,Jyrki Jokipakka,D,1991-08-20,Left,6-3,190,215,Tampere,Finland,fi
4830,joliaau01,Aurele Joliat,LW,1901-08-29,Left,5-7,170,136,Ottawa,Ontario,ca
4831,joliare01,Rene Joliat,RW/D,1898-04-25,Left,5-5,165,140,Ottawa,Ontario,ca
4832,jolyda01,D'Artagnan Joly,RW,1999-04-07,Left,6-3,190,181,Gatineau,Quebec,ca
4833,jolygr01,Greg Joly,D,1954-05-30,Left,6-1,185,190,Calgary,Alberta,ca
4834,jolyyv01,Yvan Joly,RW,1960-02-06,Right,5-8,173,175,Hawkesbury,Ontario,ca
4835,jomphje01,Jean-Francois Jomphe,C,1972-12-28,Left,6-1,185,195,,,
4836,jonasma01,Marcus Jonasen,LW,1984-01-12,,,,,,,
4837,jonatst01,Stan Jonathan,LW,1955-09-05,Left,5-8,173,175,Ohsweken,Ontario,ca
4838,jonesbe01,Ben Jones,F,1999-02-26,Left,6-0,183,187,,,
4839,jonesbl01,Blair Jones,C,1986-09-27,Right,6-2,188,216,,,
4840,jonesbo01,Bob Jones,LW,1945-11-27,Left,6-1,185,185,Espanola,Ontario,ca
4841,jonesbr01,Brad Jones,LW,1965-06-26,Left,6-0,183,195,,,
4842,jonesbu01,Buck Jones,D,1918-08-17,Right,5-11,180,200,,,
4843,jonesca01,Caleb Jones,D,1997-06-06,Left,6-1,185,194,Arlington,Texas,us
4844,jonesco01,Connor Jones,C,1990-08-16,Left,5-10,178,178,,,
4845,jonesda01,David Jones,RW,1984-08-10,Right,6-3,190,208,Guelph,Ontario,ca
4846,joneshu01,Hunter Jones,G,2000-09-21,,6-4,193,202,Brantford,Canada,ca
4847,jonesji01,Jim Jones,D,1949-07-27,Left,5-10,178,185,Espanola,Ontario,ca
4848,jonesji02,Jimmy Jones,RW,1953-01-02,Right,5-9,175,180,Woodbridge,Ontario,ca
4849,joneske01,Keith Jones,RW,1968-11-08,Left,6-2,188,200,Brantford,Ontario,ca
4850,joneske02,Kellen Jones,F,1990-08-16,,,,,,,
4851,jonesma02,Martin Jones,G,1990-01-10,,6-4,193,190,,,
4852,jonesma01,Matt Jones,D,1983-08-08,Left,6-0,183,215,,,
4853,jonesma03,Max Jones,LW,1998-02-17,Left,6-3,190,220,Rochester,Michigan,us
4854,jonesra01,Randy Jones,D,1981-07-23,Left,6-2,188,210,,,
4855,jonesro01,Ron Jones,D,1951-04-11,Left,6-1,185,195,Vermillion,Alberta,ca
4856,jonesry02,Ryan Jones,D,1996-05-26,Left,6-1,185,186,Munster,Indiana,us
4857,jonesry01,Ryan Jones,RW,1984-06-14,Left,6-1,185,205,Chatham,Ontario,ca
4858,jonesse01,Seth Jones,D,1994-10-03,Right,6-4,193,209,Arlington,Texas,us
4859,jonesty01,Ty Jones,RW,1979-02-22,Right,6-3,190,218,Richland,Washington,us
4860,jonesza01,Zachary Jones,D,2000-10-18,Left,5-10,178,172,Richmond,Virginia,us
4861,jonssha01,Hans Jonsson,D,1973-08-02,Left,6-1,185,205,Jarved,Sweden,se
4862,jonssjo01,Jorgen Jonsson,LW,1972-09-29,Left,6-0,183,185,Angelholm,Sweden,se
4863,jonsske01,Kenny Jonsson,D,1974-10-06,Left,6-3,190,217,Angelholm,Sweden,se
4864,jonssla01,Lars Jonsson,D,1982-01-02,Left,6-1,185,205,Borlange,Sweden,se
4865,jonsspe01,Per Jonsson,D,1988-04-20,,,,,,,
4866,jonssro01,Robin Jonsson,D,1983-12-10,,,,,,,
4867,jonssto01,Tomas Jonsson,D,1960-04-12,Left,5-10,178,185,Falun,Sweden,se
