pid,Player,Position,dob,Shoots,height,height_cm,weight,city,state,country
knighsp01,Spencer Knight,G,2001-04-19,,6-3,190,193,Stamford,Connecticut,us
knipsfr01,Fred Knipscheer,C,1969-09-03,Left,5-11,180,185,,,
knodeer01,Eric Knodel,D,1990-06-08,Left,6-6,198,220,,,
knoepmi01,Mike Knoepfli,LW,1982-04-09,,,,,,,
knottgr01,Graham Knott,LW,1997-01-13,Left,6-3,190,191,Etobicoke,Ontario,ca
knottni01,Nick Knott,D,1920-07-23,Left,6-2,188,200,Kingston,Ontario,ca
knoxpa01,Paul Knox,RW,1933-11-23,Right,5-10,178,160,Toronto,Ontario,ca
knublmi01,Mike Knuble,RW,1972-07-04,Right,6-3,190,229,Toronto,Ontario,ca
knutses01,Espen Knutsen,C,1972-01-12,Left,5-11,180,188,Oslo,Norway,no
knyazig01,Igor Knyazev,D,1983-01-27,,,,,,,
knyzhni01,Nikolai Knyzhov,D,1998-03-20,Left,6-3,190,200,,,
koalsma01,Matt Koalska,C,1980-05-16,Left,6-1,185,196,,,
kobasch01,Chuck Kobasew,RW,1982-04-17,Right,6-0,183,192,,,
koberni01,Nikolas Koberstein,D,1996-01-19,Left,6-1,185,180,Barrhead,Alberta,ca
kocerja01,Jaroslav Kocer,D,,,,,,,,
kochadi01,Dieter Kochan,G,1974-05-11,,6-1,185,180,Saskatoon,Saskatchewan,ca
kochepy01,Pyotr Kochetkov,G,1999-06-25,,6-3,190,180,,,
kocida01,David Koci,LW,1981-05-12,Left,6-6,198,238,Prague,Czechoslovakia,cs
kocurjo01,Joe Kocur,RW,1964-12-21,Right,6-0,183,205,Calgary,Alberta,ca
koehlgr01,Greg Koehler,C,1975-02-27,Left,6-2,188,195,Scarborough,Ontario,ca
koekksl01,Slater Koekkoek,D,1994-02-18,Left,6-2,188,193,Winchester,Ontario,ca
koepkco01,Cole Koepke,LW,1998-05-17,Left,6-1,185,196,,,
kohndu01,Dustin Kohn,D,1987-02-02,Left,6-1,185,200,Edmonton,Alberta,ca
kohnla01,Ladislav Kohn,RW,1975-03-04,Left,6-1,185,205,,,
koistvi01,Ville Koistinen,D,1982-06-17,Left,5-11,180,187,Oulu,Finland,fi
koivito01,Tom Koivisto,D,1974-06-04,Right,5-10,178,194,Turku,Finland,fi
koivito02,Toni Koivisto,LW,1982-11-05,,,,,,,
koivumi01,Mikko Koivu,C,1983-03-12,Left,6-3,190,213,Turku,Finland,fi
koivusa01,Saku Koivu,C,1974-11-23,Left,5-10,178,182,Turku,Finland,fi
koivuot01,Otto Koivula,LW,1998-09-01,Left,6-4,193,220,Nokia,Finland,fi
kojeval01,Alexander Kojevnikov,LW,1984-04-12,,,,,,,
kokkoke01,Keith Kokkola,D,1949-05-04,Left,6-3,190,210,Windsor,Ontario,ca
kokkomi01,Mikko Kokkonen,D,2001-01-18,Left,5-11,180,200,Mikkeli,Finland,fi
kokrmji01,Jindrich Kokrment,C,,,,,,,,
kolankr01,Krys Kolanos,C,1981-07-27,Right,6-3,190,206,Calgary,Alberta,ca
kolarji01,Jiri Kolar,C,,,,,,,,
kolarch01,Chad Kolarik,C,1986-01-26,Right,5-11,180,185,Abington,Pennsylvania,us
kolarpa01,Pavel Kolarik,D,1972-10-24,Left,6-1,185,207,Vyskov,Czechoslovakia,cs
kolehja01,Janne Kolehmainen,LW,1986-03-22,,,,,,,
koleske01,Keegan Kolesar,RW,1997-04-08,Right,6-2,188,227,Brandon,Manitoba,ca
kolesma01,Mark Kolesar,LW,1973-01-23,Right,6-1,185,188,Brampton,Ontario,ca
kolesvi01,Vitali Kolesnik,G,1979-08-20,,6-3,190,198,,,
kollato01,Tomas Kollar,LW,1982-04-20,,,,,,,
kolniju01,Juraj Kolnik,RW,1980-11-13,Right,5-10,178,190,Nitra,Czechoslovakia,cs
kolomda01,David Kolomatis,D,1989-02-25,,,,,,,
kolosse01,Sergei Kolosov,D,1986-05-22,,,,,,,
koloziv01,Ivan Kolozvary,C,1983-02-16,,,,,,,
kolstde01,Dean Kolstad,D,1968-06-16,Left,6-6,198,220,Edmonton,Alberta,ca
koltsiv01,Ivan Koltsov,D,1984-03-07,,,,,,,
koltski01,Kirill Koltsov,D,1983-02-01,,,,,,,
koltsko01,Konstantin Koltsov,RW,1981-04-17,Left,6-0,183,206,Minsk,USSR,su
koltypa01,Pavel Koltygin,C,1999-02-17,Left,6-0,183,194,,,
kolusma01,Marcin Kolusz,RW,1985-01-18,,,,,,,
kolyavl01,Vladislav Kolyachonok,D,2001-05-26,Left,6-1,185,189,Minsk,Belarus,by
kolziol01,Olaf Kolzig,G,1970-04-06,,6-3,190,224,,,
komadne02,Neil Komadoski,D,1982-02-10,,,,,,,
komadne01,Neil Komadoski,D,1951-11-05,Left,6-2,188,200,Winnipeg,Manitoba,ca
komarze01,Zenith Komarniski,D,1978-08-13,Left,6-0,183,200,Edmonton,Alberta,ca
komarle01,Leo Komarov,C,1987-01-23,Left,6-0,183,208,Narva,USSR,su
komismi01,Mike Komisarek,D,1982-01-19,Right,6-4,193,235,,,
konanma01,Matthew Konan,D,1991-09-03,Right,6-4,193,186,,,
kondeja01,Jachym Kondelik,C,1999-12-21,Left,6-6,198,226,Hannover,Germany,de
kondrma01,Maxim Kondratiev,D,1983-01-20,Left,6-1,185,194,Togliatti,USSR,su
konecja01,Jakub Konecny,C,2002-06-19,Left,5-10,178,150,,,
konectr01,Travis Konecny,C,1997-03-11,Right,5-10,178,175,London,Ontario,ca
konikge01,George Konik,D/LW,1937-05-04,Left,5-11,180,190,Flon,Manitoba,ca
konopze01,Zenon Konopka,C,1981-01-02,Left,6-0,183,209,,,
konovil01,Ilya Konovalov,G,1998-07-13,,6-0,183,194,,,
konowst01,Steve Konowalchuk,LW,1972-11-11,Left,6-1,185,207,,,
konrost01,Steve Konroyd,D,1961-02-10,Left,6-1,185,195,Scarborough,Ontario,ca
konsoti01,Tim Konsorada,RW,1984-03-21,,,,,,,
konstev01,Evgeny Konstantinov,G,1981-03-29,,6-0,183,176,Kazan,USSR,su
konstvl01,Vladimir Konstantinov,D,1967-03-19,Right,5-11,180,190,Murmansk,USSR,su
kontipe01,Petri Kontiola,C,1984-10-04,,6-0,183,204,,,
kontoch01,Chris Kontos,LW/C,1963-12-10,Left,6-1,185,195,Toronto,Ontario,ca
koopmke01,Kevin Koopman,D,1988-06-30,,,,,,,
koopmlo01,Logan Koopmans,G,1984-03-18,,,,,,,
kooyjo01,Jordan Kooy,G,2000-04-30,Left,6-1,185,184,Newmarket,Ontario,ca
kopacja01,Jack Kopacka,LW,1998-03-05,Left,6-3,190,192,Lapeer,Michigan,us
kopakru01,Russ Kopak,C,1924-04-26,Left,5-10,178,158,Edmonton,Alberta,ca
kopecto01,Tomas Kopecky,C,1982-02-05,Left,6-3,190,210,Ilava,Czechoslovakia,cs
koperle01,Levko Koper,LW,1990-10-05,,,,,,,
kopitan01,Anze Kopitar,C,1987-08-24,Left,6-3,190,225,Jesenice,Slovenia,si
koppajo01,Joona Koppanen,LW,1998-02-25,Left,6-5,196,192,Tampere,Finland,fi
koprimi01,Miroslav Kopriva,G,1983-12-05,,,,,,,
korabje01,Jerry Korab,D,1948-09-15,Left,6-3,190,220,,,
korczka01,Kaedan Korczak,D,2001-01-29,Right,6-3,190,194,Yorkton,Saskatchewan,ca
kordida01,Dan Kordic,LW,1971-04-18,Left,6-5,196,234,Edmonton,Alberta,ca
kordijo01,John Kordic,RW,1965-03-22,Right,6-2,188,210,Edmonton,Alberta,ca
koreija01,Jakub Koreis,C,1984-06-26,,,,,,,
korenjo01,Josef Korenar,G,1998-01-31,,6-1,185,185,,,
korhori01,Risto Korhonen,D,1986-11-27,,,,,,,
kornji01,Jim Korn,D/LW,1957-07-28,Left,6-4,193,220,Hopkins,Minnesota,us
korneko01,Konstantin Korneev,D,1984-06-05,,,,,,,
kornemi01,Mike Korney,RW,1953-09-15,Right,6-3,190,195,Dauphin,Manitoba,ca
korobdm01,Dmitry Korobov,D,1989-03-12,,6-3,190,230,,,
korolev01,Evgeny Korolev,D,1978-07-24,Left,6-1,185,214,Moscow,USSR,su
korolig01,Igor Korolev,C,1970-09-06,Left,6-1,185,190,Moscow,USSR,su
korolcl01,Cliff Koroll,RW,1946-10-01,Right,6-1,185,195,Canora,Saskatchewan,ca
korolal01,Alexander Korolyuk,LW,1976-01-15,Left,5-9,175,190,Moscow,USSR,su
korosni01,Nikita Korostelev,RW,1997-02-08,Right,6-1,185,209,,,
korosse01,Sergei Korostin,RW,1989-07-05,,,,,,,
korotse01,Sergei Korotov,D,,,,,,,,
korovni01,Nikita Korovkin,D,1983-12-03,,,,,,,
korpios01,Oskari Korpikari,D,1984-04-05,,,,,,,
korpila01,Lauri Korpikoski,LW,1986-07-28,Left,6-1,185,193,Turku,Finland,fi
korpijo01,Joonas Korpisalo,G,1994-04-28,,6-3,190,191,Pori,Finland,fi
korsheg01,Egor Korshkov,F,1996-07-10,Left,6-3,190,179,,,
korshye01,Yegor Korshkov,RW,1996-07-10,Left,,,,,,
korsuvl01,Vladimir Korsunov,D,1983-03-16,,,,,,,
kortkro01,Roger Kortko,C,1963-02-01,Left,5-11,180,195,Hafford,Saskatchewan,ca
kosheva01,Vasily Koshechkin,G,1983-03-27,,,,,,,
koskiju01,Jukka Koskilahti,,,,,,,,,
koskimi01,Mikko Koskinen,G,1988-07-18,,6-7,201,202,Vantaa,Finland,fi
kosmadm01,Dmitry Kosmachev,D,1985-06-07,,,,,,,
kosmasc01,Scott Kosmachuk,RW,1994-01-24,Right,5-11,180,185,,,
kosovya01,Yaroslav Kosov,C,1993-07-05,,,,,,,
kossika01,Kalle Kossila,LW,1993-04-14,Left,5-10,178,185,Kauniainen,Finland,fi
kostaja01,Jason Kostadine,RW,1983-10-22,,,,,,,
kostaja02,Jan Kostalek,D,1995-02-17,,6-0,183,179,,,
kostese01,Sergey Kostenko,G,1992-09-17,,,,,,,
kostemi01,Michael Koster,D,2001-04-13,Left,5-8,173,172,,,
kostikl01,Klim Kostin,C/LW,1999-05-05,Left,6-3,190,212,,,
kostian01,Andrei Kostitsyn,LW,1985-02-03,Left,6-0,183,214,Novopolotsk,USSR,su
kostise01,Sergei Kostitsyn,LW,1987-03-20,Left,6-0,183,196,Novopolotsk,USSR,su
kostkmi01,Mike Kostka,D,1985-11-28,Right,6-1,185,210,Etobicoke,Ontario,ca
kostoto01,Tom Kostopoulos,RW,1979-01-24,Right,6-0,183,200,Mississauga,Ontario,ca
kostyal01,Alexei Kostylev,RW,,,,,,,,
kostydo01,Doug Kostynski,C,1963-02-23,Right,6-1,185,170,,,
kotalal01,Ales Kotalik,RW,1978-12-23,Right,6-1,185,225,,,
kotandi01,Dick Kotanen,D,1925-11-18,Right,5-11,180,190,,,
kotkaje01,Jesperi Kotkaniemi,C,2000-07-06,Left,6-2,188,184,Pori,Finland,fi
kotkaka01,Kasper Kotkansalo,D,1998-11-16,Left,6-2,188,196,Helsinki,Finland,fi
kotkovl01,Vladislav Kotkov,F,2000-01-08,Right,6-4,193,210,,,
kotsoch01,Chris Kotsopoulos,D,1958-11-27,Right,6-3,190,215,Scarborough,Ontario,ca
koubala01,Ladislav Kouba,LW,1983-09-10,,,,,,,
koudypa01,Patrick Koudys,D,1992-11-15,,,,,,,
koumode01,Demetrios Koumontzis,LW,2000-03-24,Left,5-9,175,183,Pittsburgh,Pennsylvania,us
kovacjo01,Johnathan Kovacevic,D,1997-07-12,Right,,,,,,
kovacro01,Robin Kovacs,RW,1996-11-16,Left,6-0,183,182,Stockholm,Sweden,se
kovalil01,Ilya Kovalchuk,LW,1983-04-15,Right,6-3,190,222,Tver,USSR,su
kovalan01,Andrei Kovalenko,RW,1970-06-07,Left,5-10,178,200,Balakovo,USSR,su
kovalni01,Nikolai Kovalenko,RW,1999-10-17,Left,5-10,178,174,,,
kovalal01,Alex Kovalev,RW,1973-02-24,Left,6-2,188,222,Togliatti,USSR,su
kovarja01,Jakub Kovar,G,1988-07-19,,,,,,,
kovertr01,Trevor Koverko,D,1987-03-22,,,,,,,
kovinvl01,Vladimir Kovin,,1954-06-20,,,,,,,
kowaljo01,Joe Kowal,LW,1956-02-03,Left,6-5,196,212,Toronto,Ontario,ca
kozakdo01,Don Kozak,RW,1952-02-02,Right,5-11,180,190,Saskatoon,Saskatchewan,ca
kozakle01,Les Kozak,LW,1940-10-28,Left,6-0,183,185,Dauphin,Manitoba,ca
kozakri01,Rick Kozak,RW,1985-08-19,,,,,,,
kozekan01,Andrew Kozek,LW,1986-05-26,,,,,,,
kozlovi01,Viktor Kozlov,C,1975-02-14,Right,6-4,193,232,Togliatti,USSR,su
kozlovy01,Vyacheslav Kozlov,LW,1972-05-03,Left,5-10,178,190,Voskresensk,USSR,su
kozunbr01,Brandon Kozun,RW,1990-03-08,,5-8,173,167,,,
kracija01,Jaroslav Kracik,RW,1983-01-18,,,,,,,
kraftmi02,Milan Kraft,C,,,,,,,,
kraftmi01,Milan Kraft,C,1980-01-17,Right,6-4,193,212,Plzen,Czechoslovakia,cs
kraftry01,Ryan Kraft,C,1975-11-07,Left,5-9,175,181,,,
kraftst01,Stephen Kraftcheck,D,1929-03-03,Right,5-11,180,190,Tinturn,Ontario,ca
kragcni01,Nikolaj Krag Christensen,C/LW,1998-08-12,Right,6-3,190,201,Rodovre,Denmark,dk
krahnbr01,Brent Krahn,G,1982-04-02,,6-4,193,232,Winnipeg,Manitoba,ca
krajilu01,Lukas Krajicek,D,1983-03-11,Left,6-3,190,205,Prostejov,Czechoslovakia,cs
krakesk01,Skip Krake,C,1943-10-14,Right,5-11,180,170,,,
kralfi01,Filip Kral,D,1999-10-20,Left,6-1,185,171,,,
krameda01,Darren Kramer,LW,1991-11-19,,6-0,183,199,,,
kraskpa01,Pavel Kraskovsky,C,1996-09-11,Left,6-4,193,187,,,
kravcig01,Igor Kravchuk,D,1966-09-13,Left,6-1,185,218,Ufa,USSR,su
kravemi01,Mikhail Kravets,RW,1963-11-12,Left,5-10,178,195,Leningrad,USSR,su
kravtvi01,Vitali Kravtsov,RW,1999-12-23,Left,6-3,190,189,,,
krebspe01,Peyton Krebs,C,2001-01-26,Left,5-11,180,181,Calgary,Alberta,ca
kreidch01,Chris Kreider,LW,1991-04-30,Left,6-3,190,216,Boxford,Massachusetts,us
krejcda01,David Krejci,C,1986-04-28,Right,6-0,183,188,Sternberk,Czechoslovakia,cs
krentda01,Dale Krentz,LW,1961-12-19,Left,5-11,180,190,Steinbach,Manitoba,ca
krepska01,Kamil Kreps,C,1984-11-18,Right,6-2,188,194,Litomerice,Czechoslovakia,cs
krestde01,Derek Krestanovich,C,1983-04-29,,,,,,,
krestjo01,Jordan Krestanovich,LW,1981-06-14,Left,6-1,185,180,,,
krezare01,Reg Krezanski,D,1948-01-01,Left,5-10,178,200,,,
krikuil01,Ilja Krikunov,LW,1984-02-27,,,,,,,
kristja01,Jaroslav Kristek,RW,1980-03-16,Left,6-1,185,188,,,
kristda01,Danny Kristo,RW,1990-06-18,,6-0,183,195,Edina,Minnesota,us
krivose01,Sergei Krivokrasov,RW,1974-04-15,Left,5-11,180,185,Angarsk,USSR,su
krogja01,Jason Krog,C,1975-10-09,Right,5-11,180,185,,,
kroljo01,Joe Krol,LW,1915-08-13,Left,5-11,180,173,Winnipeg,Manitoba,ca
krommri01,Richard Kromm,LW,1964-03-29,Left,5-11,180,180,,,
kronro01,Robert Kron,LW,1967-02-27,Left,5-11,180,185,Brno,Czechoslovakia,cs
kronwni01,Niklas Kronwall,D,1981-01-12,Left,6-0,183,194,Stockholm,Sweden,se
kronwst01,Staffan Kronwall,D,1982-09-10,Left,6-5,196,225,Jarfalla,Sweden,se
krookke01,Kevin Krook,D,1958-04-05,Left,5-11,180,187,,,
kroupvl01,Vlastimil Kroupa,D,1975-04-27,Left,6-3,190,215,Most,Czechoslovakia,cs
kruegju01,Justin Krueger,D,1986-10-06,,,,,,,
krugto01,Torey Krug,D,1991-04-12,Left,5-9,175,186,Livonia,Michigan,us
krugema01,Marcus Kruger,C,1990-05-27,Left,6-0,183,186,Stockholm,Sweden,se
kruliji01,Jim Krulicki,LW,1948-03-09,Left,5-11,180,180,Kitchener,Ontario,ca
krupija01,Jarda Krupicka,RW,1946-03-15,Right,5-9,175,165,Brno,Czechoslovakia,cs
kruppuw01,Uwe Krupp,D,1965-06-24,Right,6-6,198,235,Cologne,Germany,de
kruppgo01,Gord Kruppke,D,1969-04-02,Right,6-1,185,215,,,
krusebr01,Brandon Kruse,LW,1999-02-26,Left,5-9,175,142,,,
krusepa01,Paul Kruse,LW,1970-03-15,Left,6-1,185,215,,,
krushmi01,Mike Krushelnyski,LW/C,1960-04-27,Left,6-2,188,200,Montreal,Quebec,ca
krutimi01,Michael Krutil,D,2002-06-03,Right,6-3,190,203,,,
krutovl01,Vladimir Krutov,LW,1960-06-01,Left,5-9,175,195,Moscow,USSR,su
krygich01,Christian Krygier,D,2000-05-05,Left,6-2,188,192,,,
krygico01,Cole Krygier,D,2000-05-05,Left,6-2,188,192,,,
krygito01,Todd Krygier,LW,1965-10-12,Left,6-0,183,185,,,
krysch01,Chad Krys,D,1998-04-10,Left,,,,,,
krysaan01,Anton Krysanov,C,1987-03-25,,,,,,,
kryskda01,Dave Kryskow,LW,1951-12-25,Left,5-10,178,175,Edmonton,Alberta,ca
kryzaed01,Ed Kryzanowski,D,1925-11-14,Right,5-11,180,175,,,
kubafi01,Filip Kuba,D,1976-12-29,Left,6-4,193,225,Ostrava,Czechoslovakia,cs
kubaldo01,Dominik Kubalík,LW,1995-08-21,Left,6-2,188,179,,,
kubalto01,Tomas Kubalik,RW,1990-05-01,Right,6-3,190,209,Plzen,Czechoslovakia,cs
kubinpa01,Pavel Kubina,D,1977-04-15,Right,6-4,193,258,Celadna,Czechoslovakia,cs
kubisja01,Jan Kubista,RW,1984-04-12,,,,,,,
kucerfr01,Frantisek Kucera,D,1968-02-03,Left,6-2,188,205,Prague,Czechoslovakia,cs
kuchaja01,Jacob Kucharski,G,1999-09-25,Left,6-3,190,215,Erie,Pennsylvania,us
kucheda01,David Kuchejda,RW,1987-06-12,,,,,,,
kucheni01,Nikita Kucherov,RW,1993-06-17,Left,5-11,180,178,,,
kudasal01,Alexei Kudashov,C,1971-07-21,Right,6-0,183,183,Elektrostal,USSR,su
kudelto01,Tomas Kudelka,D,1987-03-10,,,,,,,
kudelbo01,Bob Kudelski,RW,1964-03-03,Right,6-1,185,205,Springfield,Massachusetts,us
kudlapa01,Patrick Kudla,D,1996-04-02,Left,6-3,190,175,,,
kudrokr01,Kristian Kudroc,D,1981-05-21,Right,6-7,201,255,Michalovce,Czechoslovakia,cs
kuempda01,Darcy Kuemper,G,1990-05-05,,6-5,196,215,Saskatoon,Saskatchewan,ca
kuffnry01,Ryan Kuffner,LW,1996-06-12,Left,6-1,185,195,Ottawa,Ontario,ca
kugrydm01,Dmitry Kugryshev,RW,1990-01-18,,,,,,,
kuhlmka01,Karson Kuhlman,C,1995-09-26,Right,5-11,180,185,Esko,Minnesota,us
kuhngo01,Gord Kuhn,RW,1905-11-19,Right,5-7,170,145,,,
kuhnhto01,Tom Kuhnhackl,RW,1992-01-21,Left,6-2,188,190,Landshut,Germany,de
kuhtiro01,Roman Kuhtinov,D,1975-12-01,,,,,,,
kujawry01,Ryan Kujawinski,C,1995-03-30,Left,6-2,188,205,,,
kukande01,Dean Kukan,D,1993-07-08,Left,6-2,188,192,Volketswil,Switzerland,ch
kukkola01,Lasse Kukkonen,D,1981-09-18,Left,6-1,185,190,Oulu,Finland,fi
kukkomi01,Miska Kukkonen,D,2000-06-19,Right,6-0,183,198,Jokioinen,Finland,fi
kukulag01,Aggie Kukulowicz,C,1933-04-02,Left,6-3,190,175,Winnipeg,Manitoba,ca
kukumro01,Roman Kukumberg,C,1980-04-08,,,,,,,
kukusse01,Sergei Kukushkin,C,1985-07-24,,,,,,,
kulakbr01,Brett Kulak,D,1994-01-06,Left,6-2,188,187,Edmonton,Alberta,ca
kulakst01,Stu Kulak,RW,1963-03-10,Right,5-10,178,180,Edmonton,Alberta,ca
kuldaar01,Arturs Kulda ,D,1988-07-25,Left,6-2,188,214,Riga,USSR,su
kuldaed01,Edgars Kulda,LW,1994-11-13,,6-0,183,178,,,
kulemni01,Nikolai Kulemin,LW,1986-07-14,Left,6-1,185,228,Magnitogorsk,USSR,su
kulesmi01,Mikhail Kuleshov,LW,1981-01-07,Right,6-2,188,205,Perm,USSR,su
kulikdm01,Dmitry Kulikov,D,1990-10-29,Left,6-1,185,204,Lipetsk,USSR,su
kullmar01,Arnie Kullman,C,1927-10-09,Left,5-7,170,170,Winnipeg,Manitoba,ca
kullmed01,Eddie Kullman,RW,1923-12-12,Right,5-7,170,165,Winnipeg,Manitoba,ca
kultaja01,Jarno Kultanen,D,1973-01-08,Left,6-2,188,198,Luumaki,Finland,fi
kulyade01,Denis Kulyash,D,1983-05-31,,,,,,,
kumpema01,Mark Kumpel,RW,1961-03-07,Right,6-0,183,190,Wakefield,Massachusetts,us
kundrto01,Tomas Kundratek,D,1989-12-26,,6-2,188,201,Prerov,Czechoslovakia,cs
kunesti01,Tim Kunes,D,1987-02-12,,,,,,,
kuninlu01,Luke Kunin,C,1997-12-04,Right,6-0,183,195,Chesterfield,Missouri,us
kunitch01,Chris Kunitz,LW,1979-09-26,Left,6-0,183,188,Regina,Saskatchewan,ca
kuntale01,Les Kuntar,G,1969-07-28,,6-2,188,195,,,
kuntatr01,Trevor Kuntar,C,2001-06-20,Left,5-11,180,197,,,
kuntzal01,Alan Kuntz,LW,1919-06-04,Left,5-11,180,165,Toronto,Ontario,ca
kuntzmu01,Murray Kuntz,LW,1945-12-19,Left,5-10,178,180,Ottawa,Ontario,ca
kunykco01,Cody Kunyk,RW,1990-05-20,,5-11,180,194,,,
kunzja01,Jackson Kunz,LW,2002-08-13,Left,6-3,190,210,Lincoln,Nebraska,us
kuokkja01,Janne Kuokkanen,C/LW,1998-05-25,Left,6-1,185,193,Oulunsalo,Finland,fi
kuparra01,Rasmus Kupari,C,2000-03-15,Right,6-1,185,195,Kotka,Finland,fi
kupskjo01,John Kupsky,G,1995-09-27,,6-5,196,210,Waukeshaw,Wisconsin,us
kuralse01,Sean Kuraly,C,1993-01-20,Left,6-2,188,213,Dublin,Ohio,us
kurasph01,Philipp Kurashev,C,1999-10-12,Left,6-0,183,190,Munsingen,Switzerland,ch
kurkato01,Tomas Kurka,LW,1981-12-14,Left,5-11,180,190,Most,Czechoslovakia,cs
kurkesa01,Sam Kurker,RW,1994-04-08,,,,,,,
kurrija01,Jari Kurri,RW,1960-05-18,Right,6-0,183,194,Helsinki,Finland,fi
kurtga01,Gary Kurt,G,1947-03-09,,6-3,190,205,Kitchener,Ontario,ca
kurteor01,Orland Kurtenbach,C,1936-09-07,Left,6-2,188,180,Cudworth,Saskatchewan,ca
kurtzju01,Justin Kurtz,D,1977-01-14,Left,6-0,183,188,Winnipeg,Manitoba,ca
kurveto01,Tom Kurvers,D,1962-09-14,Left,6-2,188,195,Minneapolis,Minnesota,us
kurylme01,Merv Kuryluk,LW,1937-08-10,Left,5-11,180,185,Yorkton,Saskatchewan,ca
kushnda01,Dale Kushner,RW,1966-06-13,Left,6-1,185,195,,,
kutlazd01,Zdenek Kutlak,D,1980-02-13,Left,6-3,190,221,,,
kutnyvl01,Vladimir Kutny,LW,1985-05-22,,,,,,,
kuzmige01,George Kuzmicz,D,1952-05-24,Left,6-1,185,200,Montreal,Quebec,ca
kuzneev01,Evgeny Kuznetsov,C,1992-05-19,Left,6-2,188,197,,,
kuznema01,Maxim Kuznetsov,D,1977-03-24,Left,6-5,196,230,Pavlodar,USSR,su
kuzneya01,Yan Kuznetsov,D,2002-03-09,Left,6-4,193,209,,,
kuznigr01,Greg Kuznik,D,1978-06-12,Left,6-0,183,185,,,
kuzykke01,Ken Kuzyk,RW,1953-08-11,Right,6-1,185,195,Toronto,Ontario,ca
kvacape01,Petr Kvaca,G,1997-09-12,,6-1,185,174,,,
kvapima01,Marek Kvapil,RW,1985-01-05,,,,,,,
kvartdm01,Dmitri Kvartalnov,LW,1966-03-25,Left,5-11,180,180,Voskresensk,USSR,su
kvashol01,Oleg Kvasha,LW/C,1978-07-26,Right,6-5,196,230,Moscow,USSR,su
kvetoda01,David Kveton,RW,1988-01-03,,,,,,,
kvetojo01,Josef Kveton,D,,,,,,,,
kwiatjo01,Joel Kwiatkowski,D,1977-03-22,Left,6-2,188,210,Kindersley,Saskatchewan,ca
kwongla01,Larry Kwong,RW,1923-06-17,Right,5-6,168,150,,,
kyhosvl01,Vladimir Kyhos,,,,,,,,,
kylebi01,Bill Kyle,C,1924-12-23,Right,6-1,185,210,Dysart,Saskatchewan,ca
kylegu01,Gus Kyle,D,1923-09-11,Left,6-1,185,202,Dysart,Saskatchewan,ca
kylinol01,Oliver Kylington,D,1997-05-19,Left,6-0,183,183,Stockholm,Sweden,se
kylloma01,Markku Kyllonen,RW,1962-02-15,Left,6-3,190,194,Pielisjarvi,Finland,fi
kypreni01,Nick Kypreos,LW,1966-06-04,Left,6-0,183,205,Toronto,Ontario,ca
kyroujo01,Jordan Kyrou,C,1998-05-05,Right,6-0,183,175,Toronto,Ontario,ca
kyteji01,Jim Kyte,D,1964-03-21,Left,6-5,196,210,Ottawa,Ontario,ca
kytnami01,Milan Kytnar,C,1989-05-19,Left,6-0,183,190,Topolcany,Czechoslovakia,cs
labbemo01,Moe L'Abbe,RW,1947-08-12,Left,5-9,175,170,Montreal,Quebec,ca
lespejo01,Joel L'Esperance,RW,1995-08-18,Right,6-2,188,208,Brighton,Michigan,us
laakste01,Teemu Laakso,D,1987-08-27,Right,6-1,185,210,Tuusula,Finland,fi
laaksan01,Antti Laaksonen,LW,1973-10-03,Left,6-0,183,187,Tammela,Finland,fi
laaksos01,Oskari Laaksonen,D,1999-07-02,,6-1,185,165,,,
laavaro01,Roope Laavainen,D,1998-08-23,Right,6-1,185,200,Helsinki,Finland,fi
labadmi01,Mike Labadie,RW,1932-08-17,Right,5-11,180,170,,,
labanke01,Kevin Labanc,RW,1995-12-12,Right,5-11,180,185,,,
labarja01,Jason LaBarbera,G,1980-01-18,,6-3,190,232,,,
labatjo01,Joseph Labate,C,1993-04-16,Left,6-5,196,210,Burnsville,Minnesota,us
labatne01,Neil Labatte,C/D,1957-04-24,Left,6-2,188,178,Toronto,Ontario,ca
labbedy01,Dylan Labbe,D,1995-01-09,Right,6-2,188,205,,,
labbeje01,Jean-Francois Labbe,G,1972-06-15,,5-10,178,175,Sherbrooke,Quebec,ca
labelma01,Marc Labelle,LW,1969-12-20,Left,6-1,185,215,Maniwaki,Quebec,ca
laberpa01,Pascal Laberge,F,1998-04-09,Right,6-1,185,172,Chateauguay,Canada,ca
labinle01,Leo Labine,RW,1931-07-22,Right,5-10,178,170,Haileybury,Ontario,ca
labosgo01,Gord Labossiere,C,1940-01-02,Right,6-1,185,190,,,
labovma01,Max Labovitch,RW,1924-01-18,Right,5-11,180,165,Winnipeg,Manitoba,ca
labrada01,Dan Labraaten,LW,1951-06-09,Right,6-0,183,190,Leksand,Sweden,se
labreyv01,Yvon Labre,D,1949-11-29,Left,5-11,180,190,Sudbury,Ontario,ca
labreda01,Dave Labrecque,C,1990-01-27,,,,,,,
labrepa01,Patrick Labrecque,G,1971-03-06,,6-0,183,190,Laval,Quebec,ca
labrigu01,Guy Labrie,D,1920-08-11,Left,6-0,183,185,,,
labripi01,Pierre-Cedric Labrie,LW,1986-12-06,Left,6-3,190,226,,,
labrodw01,Dwight Labrosse,G,1983-10-06,,,,,,,
lacaslo01,Loic Lacasse,G,1986-04-23,,,,,,,
